date,time,open,high,low,close,volume
2022.06.23,4:10,20361.34,20389.71,20320.96,20325.96,575
2022.06.23,4:15,20326.61,20345.21,20301.42,20316.71,691
2022.06.23,4:20,20316.82,20412.62,20303.12,20400.6,672
2022.06.23,4:25,20403.6,20531.44,20392.58,20478.42,928
2022.06.23,4:30,20478.42,20565.15,20458.19,20468.19,1115
2022.06.23,4:35,20465.19,20476.69,20423.02,20430.54,864
2022.06.23,4:40,20431.46,20444.7,20404.63,20409.63,584
2022.06.23,4:45,20409.63,20425.13,20375.71,20386.2,578
2022.06.23,4:50,20384.7,20393.46,20330.05,20343.96,615
2022.06.23,4:55,20344.46,20362.01,20308.03,20345.46,684
2022.06.23,5:00,20345.51,20433.71,20341.51,20421.96,640
2022.06.23,5:05,20418.46,20428.46,20347.39,20364.21,510
2022.06.23,5:10,20363.96,20368.96,20321.61,20335.61,470
2022.06.23,5:15,20334.46,20375.45,20307.46,20357.52,638
2022.06.23,5:20,20357.46,20394.21,20327.37,20338.46,509
2022.06.23,5:25,20336.71,20359.71,20330.21,20330.46,487
2022.06.23,5:30,20332.21,20462.71,20325.37,20380.9,806
2022.06.23,5:35,20380.71,20412.4,20348.9,20389.71,511
2022.06.23,5:40,20397.71,20404.4,20369.9,20390.7,417
2022.06.23,5:45,20396.21,20437.32,20384.93,20427.21,568
2022.06.23,5:50,20418.94,20434.34,20395.71,20403.96,358
2022.06.23,5:55,20403.21,20407.96,20316.09,20328.46,729
2022.06.23,6:00,20328.71,20344,20234.69,20255.83,759
2022.06.23,6:05,20257.83,20314.9,20253.79,20302.99,467
2022.06.23,6:10,20308.49,20321.21,20256.12,20272.21,624
2022.06.23,6:15,20264.14,20288.46,20255.55,20285.55,519
2022.06.23,6:20,20285.55,20295.46,20262.71,20283.21,589
2022.06.23,6:25,20284.21,20296.78,20252.14,20289.28,624
2022.06.23,6:30,20286.78,20286.78,20243.21,20265.17,508
2022.06.23,6:35,20265.17,20285.46,20245.67,20257.71,505
2022.06.23,6:40,20252.17,20267.21,20197.3,20213.8,573
