N,upMarginPercentage,downMarginPercentage,logicNumber,percentageAverage,transactionsCount,logicScore
10,1,2,1,0.606277,879,532.918
10,1,2,2,0.401254,420,168.527
10,1,3,1,0.598954,879,526.481
10,1,3,2,0.426131,411,175.14
10,1,4,1,0.608869,879,535.196
10,1,4,2,0.539057,403,217.24
10,1,5,1,0.644822,879,566.798
10,1,5,2,0.571919,393,224.764
10,1,6,1,0.609737,879,535.959
10,1,6,2,0.544752,388,211.364
10,1,7,1,0.582433,879,511.959
10,1,7,2,0.566285,383,216.887
10,1,8,1,0.61172,879,537.702
10,1,8,2,0.512095,383,196.132
10,1,9,1,0.620606,879,545.513
10,1,9,2,0.598249,381,227.933
10,1,10,1,0.555987,879,488.713
10,1,10,2,0.497791,376,187.17
10,2,1,1,0.732041,879,643.464
10,2,1,2,0.643857,377,242.734
10,2,2,1,0.718818,879,631.841
10,2,2,2,0.617954,363,224.317
10,2,3,1,0.684956,879,602.077
10,2,3,2,0.622848,358,222.98
10,2,4,1,0.676187,879,594.369
10,2,4,2,0.56374,355,200.128
10,2,5,1,0.698703,879,614.16
10,2,5,2,0.577711,349,201.621
10,2,6,1,0.628383,879,552.349
10,2,6,2,0.586398,343,201.134
10,2,7,1,0.594911,879,522.927
10,2,7,2,0.626591,342,214.294
10,2,8,1,0.656312,879,576.898
10,2,8,2,0.647221,337,218.113
10,2,9,1,0.71158,879,625.479
10,2,9,2,0.670938,336,225.435
10,2,10,1,0.672122,879,590.795
10,2,10,2,0.626795,330,206.842
10,3,1,1,1.0609,879,932.529
10,3,1,2,0.816789,326,266.273
10,3,2,1,1.03153,879,906.717
10,3,2,2,0.787259,318,250.348
10,3,3,1,1.0219,879,898.254
10,3,3,2,0.787521,311,244.919
10,3,4,1,1.01976,879,896.369
10,3,4,2,0.794762,302,240.018
10,3,5,1,1.05825,879,930.198
10,3,5,2,0.868772,290,251.944
10,3,6,1,1.01142,879,889.035
10,3,6,2,0.889989,284,252.757
10,3,7,1,0.960337,879,844.137
10,3,7,2,0.885324,283,250.547
10,3,8,1,1.0198,879,896.403
10,3,8,2,0.960667,279,268.026
10,3,9,1,1.06192,879,933.427
10,3,9,2,1.01333,279,282.72
10,3,10,1,1.0249,879,900.888
10,3,10,2,1.00737,274,276.02
10,4,1,1,1.30265,878,1143.73
10,4,1,2,1.12427,285,320.418
10,4,2,1,1.2317,878,1081.43
10,4,2,2,1.10458,280,309.282
10,4,3,1,1.20218,878,1055.51
10,4,3,2,1.09065,271,295.567
10,4,4,1,1.19507,878,1049.28
10,4,4,2,1.21752,261,317.772
10,4,5,1,1.21247,878,1064.55
10,4,5,2,1.22136,250,305.34
10,4,6,1,1.17148,878,1028.56
10,4,6,2,1.3319,244,324.983
10,4,7,1,1.09071,878,957.645
10,4,7,2,1.2692,242,307.146
10,4,8,1,1.12726,878,989.73
10,4,8,2,1.12938,242,273.309
10,4,9,1,1.13923,878,1000.24
10,4,9,2,1.2019,241,289.658
10,4,10,1,1.0931,878,959.74
10,4,10,2,1.30986,238,311.746
10,5,1,1,1.68958,878,1483.45
10,5,1,2,0.878072,254,223.03
10,5,2,1,1.60589,878,1409.97
10,5,2,2,0.87986,244,214.686
10,5,3,1,1.56238,877,1370.21
10,5,3,2,0.905964,237,214.714
10,5,4,1,1.57129,877,1378.02
10,5,4,2,1.03645,228,236.31
10,5,5,1,1.60023,877,1403.41
10,5,5,2,1.30812,216,282.553
10,5,6,1,1.5571,877,1365.57
10,5,6,2,1.49543,208,311.05
10,5,7,1,1.46876,877,1288.1
10,5,7,2,1.49506,205,306.487
10,5,8,1,1.52169,877,1334.52
10,5,8,2,1.33466,205,273.606
10,5,9,1,1.53337,877,1344.76
10,5,9,2,1.50063,202,303.128
10,5,10,1,1.47293,877,1291.76
10,5,10,2,1.48554,202,300.08
10,6,1,1,1.86511,878,1637.57
10,6,1,2,1.12172,230,257.995
10,6,2,1,1.78174,878,1564.37
10,6,2,2,1.16213,223,259.155
